Text_ID,Mobile_Tech_Flag_Predicted,Headline_Generated_Eng_Lang
article_4001,0,
article_4002,0,
article_4003,0,
article_4004,0,
article_4005,0,
article_4006,0,
article_4007,0,
article_4008,0,
article_4009,0,
article_4010,0,
article_4011,0,
article_4012,0,
article_4013,0,
article_4014,0,
article_4015,0,
article_4016,0,
article_4017,0,
article_4018,0,
article_4019,0,
article_4020,0,
article_4021,0,
article_4022,0,
article_4023,0,
article_4024,0,
article_4025,0,
article_4026,0,
article_4027,0,
article_4028,0,
article_4029,0,
article_4030,0,
article_4031,0,
article_4032,0,
article_4033,0,
article_4034,0,
article_4035,0,
article_4036,0,
article_4037,0,
article_4038,0,
article_4039,0,
article_4040,0,
article_4041,0,
article_4042,0,
article_4043,0,
article_4044,0,
article_4045,0,
article_4046,1,HP Inc. Names Jami Miscik to Board of Directors
article_4047,0,
article_4048,0,
article_4049,0,
article_4050,0,
article_4051,0,
article_4052,0,
article_4053,0,
article_4054,0,
article_4055,0,
article_4056,0,
article_4058,0,
article_4059,0,
article_4060,0,
article_4061,0,
article_4062,0,
article_4063,0,
article_4064,0,
article_4065,0,
article_4066,0,
article_4067,0,
article_4068,0,
article_4069,0,
article_4070,0,
article_4071,0,
article_4072,0,
article_4073,0,
article_4074,0,
article_4075,0,
article_4076,0,
article_4077,0,
article_4078,0,
article_4079,0,
article_4080,0,
article_4081,0,
article_4082,0,
article_4083,0,
article_4084,0,
article_4085,0,
article_4086,0,
article_4087,0,
article_4088,0,
article_4089,0,
article_4090,0,
article_4091,0,
article_4092,0,
article_4093,0,
article_4094,0,
article_4095,0,
article_4096,0,
article_4097,0,
article_4098,0,
article_4099,0,
article_4100,0,
article_4101,0,
article_4102,0,
article_4103,0,
article_4104,0,
article_4105,0,
article_4106,0,
article_4107,0,
article_4108,0,
article_4109,0,
article_4110,0,
article_4111,0,
article_4112,0,
article_4113,0,
article_4114,0,
article_4115,0,
article_4116,0,
article_4117,0,
article_4118,0,
article_4119,0,
article_4120,0,
article_4121,0,
article_4122,1,"Latest News\n Complaints in the action of cyber cells, whenever there is a complaint"
article_4123,0,
article_4124,0,
article_4125,0,
article_4126,0,
article_4127,0,
article_4128,0,
article_4129,0,
article_4130,0,
article_4131,0,
article_4132,0,
article_4133,0,
article_4134,0,
article_4135,0,
article_4136,0,
article_4137,0,
article_4138,0,
article_4139,0,
article_4140,0,
article_4141,0,
article_4142,0,
article_4143,0,
article_4144,0,
article_4145,0,
article_4146,0,
article_4148,0,
article_4149,0,
article_4150,0,
article_4151,1,iOS 14.5 Will Let iPhone Users Unlock Smartphone Directly via Apple Watch Even While Wearing a Mask
article_4152,1,"Poco M3 with Snapdragon 662, Snapdragon 662 arrives in India at Rs 10,999"
article_4153,1,Samsung launches affordable Galaxy M02 smartphone in India
article_4154,1,PlayStation 5 review: A significant upgrade that would impact your personal gaming needs to be powered by this Game
article_4155,1,MediaTek Unveils New M80 5G Modem with Support for mmWave and Sub 6 GHz 5G Networks
article_4156,1,"Itel A47 with HD+ FullScreen display, dual security launched at Rs 5,499"
article_4157,1,Google Expands its Stadia GameStream Cloud: CEO
article_4158,1,Infinix is launching its new smartphone Smart 5 on 11th February 2021
article_4159,1,"OnePlus Band Review: The new OnePlus Band with adjustable strap, you should too"
article_4160,1,"MediaTek Unveils New M80 5G Chip, With Support for mmWave and Sub 6 GHz 5G Networks"
article_4161,1,Samsung Galaxy S20 FE 5G Review
article_4162,1,Google Expands its Stadia Game Development Group: Reports
article_4163,1,Xiaomi Mi 11 Lite Smartphone To Be Launched With 120Hz Refresh Price
article_4164,1,"OnePlus Nord N1 5G tipped, to be the successor of Nord N10 5G"
article_4165,1,"Poco M3 with 6.53 inch full HD+ display, 48MP triple rear cameras given at Rs 11,000"
article_4166,1,Poco X3 Pro smartphone's chip listed in India; Report
article_4167,1,"Amkette Evo Fox Game Box Review: Game On, Without Burning A Hole In Your Pocket"
article_4168,1,"Home\n Galaxy S21 Ultra 5G, Sony Xperia Pro, Mi 11, Motorola Edge S And More Features"
article_4169,1,"OnePlus 7T, OnePlus 7 series receive last stable Android 10 updates in India"
article_4170,1,Canon unveils new Pixma G series Ink tank printers for home and small businesses
article_4171,1,Pak SC orders Pearl murder accused to be freed from death cell
article_4172,1,"Poco M3 India launch today: Expected specifications, price in India, Flipkart sale"
article_4173,1,Xiaomi Mi 11 Pro reportedly in works
article_4174,1,Vivo X60 Pro Plus India launch soon | BGR India
article_4175,1,Infinix Smart 5 to launch in four colors
article_4176,1,"Nokia 5. 4 is launching this year's update version Nokia 5. 4, know price and features"
article_4177,1,"Midrange Flagship Phone: Realtime X7 and X7 Pro 5G smartphone launch, know price, features and offers retail"
article_4178,0,
article_4179,1,"OnePlus Nord is launching today, returning from teasers these special features"
article_4180,1,"Moto G 5G vs OnePlus Nord 5G: Launched the most affordable 5G midrange phone in India, know what the price is"
article_4181,0,
article_4182,1,"Latest news\n iQOO 7 came on the number of Xiaomi Mi 11, know the details"
article_4183,1,"Samsung Galaxy F62 could launch soon, know what is the price"
article_4184,1,Samsung Galaxy A52 5G: Slowly this latest smartphone information of the next Samsung brand
article_4185,1,Getting to see Oppo Find X3 Pro Smartphone's Rear Camera Setup Customer Information
article_4186,1,"Vivo X50, X50 Pro is launching in India today, know what are the prices and features"
article_4187,1,"Motorola Edge S receives impressive reaction in first sale: Motorola Edge S got the most smartphones in the first cell, know prices and features"
article_4188,0,
article_4189,1,"Smartphone On Amazon: Amazon is giving 20% discount for these best features, know how"
article_4190,1,Netflix Sleep Timer Feature: New and amazing feature to watch again and again
article_4191,1,"Vivo V20 Pro vs OnePlus Nord, 5G Smartphones: The slimest 5G smartphone launched in India, know the price and features"
article_4192,1,"Infinix Zero 8i's first cell today, know price and price"
article_4193,1,"It will be an 8 pro smartphone supporting Van Plus 8 pro 5G with breathtaking features starting from Rs 6, 999."
article_4194,1,"108 Megapixel Camera This 108 Megapixel Camera smartphone launch, know what the price is"
article_4195,1,"Motorola Moto G 5G smartphone is to be launched in India on November 30, know everything"
article_4196,1,Al the same Galaxy A72 smartphone can launch Samsung
article_4197,1,"Latest news\n OnePlus Nord is launching this month, learn more about it"
article_4198,1,"Motorola Edge+ to be launched in India, know prices and features"
article_4199,1,Today you will find information on which smart phones have a quality rear camera and which have a powerful battery.
article_4200,1,"Let's stop. Nokia Time to Day' s release date seems awful, bad news for fashion."
article_4201,0,
article_4202,0,
article_4203,1,Mobile par Rozdhan App se PayTM
article_4204,1,How to find a mobile phone on Google - find my phone
article_4205,1,How to publish blog posts from mobile**
article_4206,1,Mobile Se Free Calling Kaise Kare kisi Bhi Number Par
article_4207,0,
article_4208,0,
article_4209,1,"How to earn money from mobile - ₹ 10,000 earned True balance from you August"
article_4210,0,
article_4211,1,Infinix Smart 5 Review
article_4212,1,Samsung Galaxy Note 9 smartphone reportedly caught fire in a woman purse
article_4213,1,[Cont. updated] Google’s Galaxy Note 7 moment damage caused by wireless charging
article_4214,1,Realme 5 caught fire while getting repairs in cars
article_4215,1,iOS 14 problem: Fix issues Fixed & Fix
article_4216,1,Apple users updating iOS 142 may reported battery drain issue
article_4217,1,Samsung Galaxy M31 and Galaxy A71 issues reportedly in works
article_4218,1,Samsung Galaxy S20 phones that have received Google Maps and Waze Fix
article_4219,1,"Samsung launches Galaxy S20 FE, reportedly giving some grief to users"
article_4220,1,"Motorola Edge+ Reportedly Fixing Issue in Media, Other Interested Issue"
article_4221,1,Motorola Edge+ reportedly get issue relating to a software update
article_4222,1,Airtel users facing strange issue in Mi & Redmi devices relating to a continuous rebooting loop
article_4223,1,"Xiaomi says phones rebooting after a loophole, causing an issue"
article_4224,1,"Shopkeepers will buy Vivo,Vivo and Vivo 5G"
tweet_4001,0,
tweet_4002,0,
tweet_4003,0,
tweet_4004,0,
tweet_4005,0,
tweet_4006,0,
tweet_4007,0,
tweet_4008,0,
tweet_4009,0,
tweet_4010,0,
tweet_4011,0,
tweet_4012,0,
