Text_ID,Mobile_Tech_Flag_Predicted,Brands_Entity_Identified,Sentiment_Identified
article_4046,1,hp,Neutral
article_4122,1,,
article_4151,1,apple,Neutral
article_4151,1,apple,Neutral
article_4152,1,apple,Positive
article_4152,1,google,Positive
article_4152,1,poco,Positive
article_4152,1,realme,Positive
article_4153,1,samsung,Neutral
article_4154,1,google,Positive
article_4154,1,reliance,Positive
article_4154,1,sony,Positive
article_4154,1,zen,Positive
article_4155,1,voice,Positive
article_4156,1,itel,Neutral
article_4157,1,google,Neutral
article_4158,1,infinix,Neutral
article_4158,1,reliance,Neutral
article_4159,1,centric,Neutral
article_4159,1,oneplus,Positive
article_4159,1,samsung,Neutral
article_4159,1,xiaomi,Positive
article_4160,1,voice,Negative
article_4161,1,samsung,Neutral
article_4162,1,google,Neutral
article_4163,1,nokia,Neutral
article_4163,1,oppo,Neutral
article_4163,1,realme,Neutral
article_4163,1,samsung,Positive
article_4163,1,xiaomi,Positive
article_4164,1,apple,Neutral
article_4164,1,oneplus,Neutral
article_4164,1,voice,Positive
article_4165,1,poco,Positive
article_4166,1,lg,Positive
article_4166,1,oneplus,Neutral
article_4166,1,poco,Neutral
article_4166,1,samsung,Neutral
article_4167,1,google,Neutral
article_4167,1,jio,Positive
article_4167,1,microsoft,Neutral
article_4167,1,sony,Neutral
article_4168,1,apple,Positive
article_4168,1,motorola,Neutral
article_4168,1,poco,Positive
article_4168,1,samsung,Neutral
article_4168,1,sony,Neutral
article_4168,1,xiaomi,Neutral
article_4169,1,google,Positive
article_4169,1,oneplus,Neutral
article_4170,1,,
article_4171,1,,
article_4172,1,poco,Neutral
article_4173,1,karbonn,Positive
article_4173,1,xiaomi,Positive
article_4173,1,xiaomi,Positive
article_4174,1,centric,Neutral
article_4174,1,vivo,Neutral
article_4175,1,infinix,Neutral
article_4176,1,nokia,Neutral
article_4177,1,realme,Neutral
article_4179,1,oneplus,Neutral
article_4179,1,samsung,Neutral
article_4180,1,motorola,Neutral
article_4180,1,oneplus,Neutral
article_4180,1,oppo,Neutral
article_4180,1,sony,Neutral
article_4182,1,huawei,Neutral
article_4182,1,iqoo,Neutral
article_4182,1,oppo,Neutral
article_4182,1,xiaomi,Neutral
article_4183,1,apple,Neutral
article_4183,1,samsung,Neutral
article_4184,1,samsung,Neutral
article_4185,1,oppo,Neutral
article_4185,1,sony,Negative
article_4186,1,motorola,Neutral
article_4186,1,vivo,Neutral
article_4187,1,motorola,Neutral
article_4189,1,,
article_4190,1,,
article_4191,1,nokia,Neutral
article_4191,1,oneplus,Neutral
article_4191,1,samsung,Neutral
article_4191,1,sony,Neutral
article_4191,1,vivo,Neutral
article_4192,1,infinix,Neutral
article_4192,1,nokia,Neutral
article_4192,1,realme,Neutral
article_4193,1,apple,Neutral
article_4193,1,oneplus,Neutral
article_4193,1,samsung,Neutral
article_4193,1,xiaomi,Neutral
article_4194,1,motorola,Neutral
article_4194,1,samsung,Neutral
article_4194,1,xiaomi,Neutral
article_4195,1,motorola,Neutral
article_4195,1,samsung,Positive
article_4196,1,samsung,Neutral
article_4197,1,oneplus,Neutral
article_4197,1,oppo,Neutral
article_4197,1,realme,Negative
article_4197,1,samsung,Neutral
article_4197,1,vivo,Neutral
article_4198,1,motorola,Neutral
article_4199,1,poco,Neutral
article_4199,1,realme,Neutral
article_4200,1,hmd,Negative
article_4200,1,nokia,Negative
article_4203,1,,
article_4204,1,apple,Neutral
article_4204,1,google,Neutral
article_4204,1,htc,Neutral
article_4204,1,nokia,Neutral
article_4204,1,samsung,Neutral
article_4205,1,google,Neutral
article_4206,1,,
article_4209,1,google,Positive
article_4211,1,infinix,Neutral
article_4211,1,micromax,Positive
article_4211,1,nokia,Neutral
article_4211,1,poco,Positive
article_4211,1,xiaomi,Positive
article_4212,1,reliance,Neutral
article_4212,1,samsung,Neutral
article_4213,1,apple,Negative
article_4213,1,google,Negative
article_4213,1,samsung,Negative
article_4214,1,apple,Neutral
article_4214,1,realme,Neutral
article_4214,1,realme,Neutral
article_4214,1,reliance,Neutral
article_4214,1,xiaomi,Neutral
article_4215,1,apple,Negative
article_4215,1,apple,Negative
article_4215,1,apple,Negative
article_4215,1,google,Negative
article_4216,1,apple,Neutral
article_4217,1,starmobile,Neutral
article_4217,1,samsung,Neutral
article_4218,1,google,Neutral
article_4218,1,samsung,Neutral
article_4219,1,samsung,Neutral
article_4220,1,lenovo,Positive
article_4220,1,motorola,Neutral
article_4221,1,microsoft,Neutral
article_4221,1,motorola,Neutral
article_4221,1,samsung,Positive
article_4222,1,xiaomi,Negative
article_4222,1,xiaomi,Negative
article_4223,1,google,Neutral
article_4223,1,poco,Neutral
article_4223,1,xiaomi,Negative
article_4224,1,apple,Positive
article_4224,1,bbk,Positive
article_4224,1,oneplus,Neutral
article_4224,1,oppo,Neutral
article_4224,1,poco,Positive
article_4224,1,realme,Neutral
article_4224,1,samsung,Positive
article_4224,1,vivo,Positive
article_4224,1,xiaomi,Positive
tweet_4151,1,,
tweet_4152,1,,
tweet_4153,1,google,Neutral
tweet_4154,1,,
tweet_4155,1,samsung,Neutral
tweet_4156,1,apple,Neutral
tweet_4157,1,,
tweet_4158,1,panasonic,Neutral
tweet_4159,1,,
tweet_4160,1,,
tweet_4161,1,,
tweet_4162,1,acer,Neutral
tweet_4163,1,realme,Neutral
tweet_4163,1,realme,Neutral
tweet_4164,1,xiaomi,Neutral
tweet_4165,1,,
tweet_4166,1,xiaomi,Neutral
tweet_4167,1,,
tweet_4168,1,nokia,Neutral
tweet_4169,1,xiaomi,Neutral
tweet_4170,1,,
tweet_4171,1,realme,Neutral
tweet_4172,1,samsung,Neutral
tweet_4173,1,xiaomi,Neutral
tweet_4174,1,huawei,Neutral
tweet_4175,1,asus,Neutral
tweet_4176,1,realme,Neutral
tweet_4177,1,realme,Neutral
tweet_4178,1,oneplus,Neutral
tweet_4179,1,samsung,Neutral
tweet_4180,1,,
tweet_4181,1,oneplus,Neutral
tweet_4182,1,oppo,Neutral
tweet_4183,1,xiaomi,Neutral
tweet_4184,1,oppo,Neutral
tweet_4184,1,realme,Neutral
tweet_4185,1,,
tweet_4186,1,xiaomi,Neutral
tweet_4187,1,oneplus,Neutral
tweet_4188,1,,
tweet_4189,1,,
tweet_4190,1,xiaomi,Neutral
tweet_4191,1,,
tweet_4192,1,oppo,Neutral
tweet_4193,1,zte,Neutral
tweet_4194,1,,
tweet_4195,1,samsung,Neutral
tweet_4196,1,,
tweet_4197,1,xiaomi,Neutral
tweet_4198,1,jio,Neutral
tweet_4199,1,oppo,Neutral
tweet_4200,1,,
tweet_4201,1,samsung,Neutral
tweet_4202,1,nokia,Negative
tweet_4202,1,samsung,Neutral
tweet_4203,1,samsung,Neutral
tweet_4204,1,blackberry,Negative
tweet_4205,1,apple,Neutral
tweet_4206,1,,
tweet_4207,1,xiaomi,Positive
tweet_4209,1,nokia,Neutral
tweet_4210,1,oneplus,Neutral
tweet_4210,1,oneplus,Neutral
article_4001,0,,
article_4002,0,,
article_4003,0,,
article_4004,0,,
article_4005,0,,
article_4006,0,,
article_4007,0,,
article_4008,0,,
article_4009,0,,
article_4010,0,,
article_4011,0,,
article_4012,0,,
article_4013,0,,
article_4014,0,,
article_4015,0,,
article_4016,0,,
article_4017,0,,
article_4018,0,,
article_4019,0,,
article_4020,0,,
article_4021,0,,
article_4022,0,,
article_4023,0,,
article_4024,0,,
article_4025,0,,
article_4026,0,,
article_4027,0,,
article_4028,0,,
article_4029,0,,
article_4030,0,,
article_4031,0,,
article_4032,0,,
article_4033,0,,
article_4034,0,,
article_4035,0,,
article_4036,0,,
article_4037,0,,
article_4038,0,,
article_4039,0,,
article_4040,0,,
article_4041,0,,
article_4042,0,,
article_4043,0,,
article_4044,0,,
article_4045,0,,
article_4047,0,,
article_4048,0,,
article_4049,0,,
article_4050,0,,
article_4051,0,,
article_4052,0,,
article_4053,0,,
article_4054,0,,
article_4055,0,,
article_4056,0,,
article_4058,0,,
article_4059,0,,
article_4060,0,,
article_4061,0,,
article_4062,0,,
article_4063,0,,
article_4064,0,,
article_4065,0,,
article_4066,0,,
article_4067,0,,
article_4068,0,,
article_4069,0,,
article_4070,0,,
article_4071,0,,
article_4072,0,,
article_4073,0,,
article_4074,0,,
article_4075,0,,
article_4076,0,,
article_4077,0,,
article_4078,0,,
article_4079,0,,
article_4080,0,,
article_4081,0,,
article_4082,0,,
article_4083,0,,
article_4084,0,,
article_4085,0,,
article_4086,0,,
article_4087,0,,
article_4088,0,,
article_4089,0,,
article_4090,0,,
article_4091,0,,
article_4092,0,,
article_4093,0,,
article_4094,0,,
article_4095,0,,
article_4096,0,,
article_4097,0,,
article_4098,0,,
article_4099,0,,
article_4100,0,,
article_4101,0,,
article_4102,0,,
article_4103,0,,
